repository,file_url
pedroSG94/rtmp-rtsp-stream-client-java,https://github.com/pedroSG94/rtmp-rtsp-stream-client-java/blob/5938d122494285c41c8d8a6c5f97b4ab31d2af08/rtmp/src/main/java/com/github/faucamp/simplertmp/Crypto.java
google/conscrypt,https://github.com/google/conscrypt/blob/98afed60b004ec36a3c7bff769a8c41ad56894a2/benchmark-jmh/src/jmh/java/org/conscrypt/OpenJdkCipherFactory.java
google/conscrypt,https://github.com/google/conscrypt/blob/38495cfcb76cfeabfbd17ab385118000a338fe40/openjdk-integ-tests/src/test/java/org/conscrypt/java/security/KeyFactoryTestDH.java
google/conscrypt,https://github.com/google/conscrypt/blob/4e473d9a9eae102902052309f4643698cff7bfea/common/src/main/java/org/conscrypt/DESEDESecretKeyFactory.java
andOTP/andOTP,https://github.com/andOTP/andOTP/blob/716cb32feab8a4fad9b17837d59a0cb22fd7868f/app/src/main/java/org/shadowice/flocke/andotp/Utilities/EncryptionHelper.java
google/conscrypt,https://github.com/google/conscrypt/blob/adc77b5a003af06d2652ec7badb8e017bc2018a7/testing/src/main/java/org/conscrypt/java/security/AlgorithmParameterSymmetricHelper.java
google/conscrypt,https://github.com/google/conscrypt/blob/7d5066f5d9301d9cbd0a1ba12c3c927515b672cd/common/src/main/java/org/conscrypt/OpenSSLCipherChaCha20.java
google/conscrypt,https://github.com/google/conscrypt/blob/773faf663084cade0812f37899a1ddbf929c474a/common/src/main/java/org/conscrypt/KeyGeneratorImpl.java
google/conscrypt,https://github.com/google/conscrypt/blob/3aa6e418e1ee427bf6841513b18aee91e823f7c9/openjdk-integ-tests/src/test/java/org/conscrypt/ConscryptSuite.java
andOTP/andOTP,https://github.com/andOTP/andOTP/blob/716cb32feab8a4fad9b17837d59a0cb22fd7868f/app/src/main/java/org/shadowice/flocke/andotp/Utilities/SecretKeyWrapper.java
google/conscrypt,https://github.com/google/conscrypt/blob/adc77b5a003af06d2652ec7badb8e017bc2018a7/testing/src/main/java/org/conscrypt/java/security/CipherAsymmetricCryptHelper.java
google/conscrypt,https://github.com/google/conscrypt/blob/adc77b5a003af06d2652ec7badb8e017bc2018a7/testing/src/main/java/org/conscrypt/java/security/CipherHelper.java
google/conscrypt,https://github.com/google/conscrypt/blob/dbe082cb70a1ffbe1a693bd583a06ecad585f46d/common/src/main/java/org/conscrypt/OpenSSLECDHKeyAgreement.java
google/conscrypt,https://github.com/google/conscrypt/blob/3aa6e418e1ee427bf6841513b18aee91e823f7c9/openjdk-integ-tests/src/test/java/org/conscrypt/ConscryptJava6Suite.java
google/conscrypt,https://github.com/google/conscrypt/blob/3aa6e418e1ee427bf6841513b18aee91e823f7c9/testing/src/main/java/org/conscrypt/java/security/AlgorithmParameterKeyAgreementHelper.java
google/conscrypt,https://github.com/google/conscrypt/blob/3aa6e418e1ee427bf6841513b18aee91e823f7c9/testing/src/main/java/org/conscrypt/java/security/KeyAgreementHelper.java
google/conscrypt,https://github.com/google/conscrypt/blob/1402f8ab219acfaa5551be6ec66014a0e157dad9/openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/CipherBasicsTest.java
andOTP/andOTP,https://github.com/andOTP/andOTP/blob/c8d47ca3bf135822b29371917c296e354f961e65/app/src/androidTest/java/org/shadowice/flocke/andotp/ApplicationTest.java
andOTP/andOTP,https://github.com/andOTP/andOTP/blob/e76b3c3b966ad29893956d8b88ea60e689247229/app/src/main/java/org/shadowice/flocke/andotp/Utilities/TokenCalculator.java
google/conscrypt,https://github.com/google/conscrypt/blob/adc77b5a003af06d2652ec7badb8e017bc2018a7/testing/src/main/java/org/conscrypt/java/security/AlgorithmParameterAsymmetricHelper.java
google/conscrypt,https://github.com/google/conscrypt/blob/cc582b21399d354f9c3585c92f962f860c9ad0bb/openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/KeyGeneratorTest.java
google/conscrypt,https://github.com/google/conscrypt/blob/29916ef38dc9cb4e4c6e3fdb87d4e921546d3ef4/common/src/main/java/org/conscrypt/OpenSSLMac.java
google/conscrypt,https://github.com/google/conscrypt/blob/5ec35be71ded09ec6126538cc4be494c82557b60/benchmark-base/src/main/java/org/conscrypt/Transformation.java
google/conscrypt,https://github.com/google/conscrypt/blob/f1abfb434c03fb4784f1f2f4025e115d6dedcb23/testing/src/main/java/org/conscrypt/javax/net/ssl/PSKKeyManagerProxy.java
google/conscrypt,https://github.com/google/conscrypt/blob/773faf663084cade0812f37899a1ddbf929c474a/common/src/main/java/org/conscrypt/OpenSSLCipherRSA.java
google/conscrypt,https://github.com/google/conscrypt/blob/38495cfcb76cfeabfbd17ab385118000a338fe40/openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestAES.java
google/conscrypt,https://github.com/google/conscrypt/blob/38495cfcb76cfeabfbd17ab385118000a338fe40/openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestDES.java
google/conscrypt,https://github.com/google/conscrypt/blob/38495cfcb76cfeabfbd17ab385118000a338fe40/openjdk-integ-tests/src/test/java/org/conscrypt/java/security/AlgorithmParametersTestDESede.java
google/conscrypt,https://github.com/google/conscrypt/blob/792534cb0204c550a4234f47b7939090b90d0f32/common/src/main/java/org/conscrypt/CryptoUpcalls.java
